#options: 1280x528 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:124 out:124 type:B dur:2 cpbdur:2 q:28.40 aq:23.23 tex:5431 mv:4175 misc:1866 imb:11 pmb:518 smb:2111 d:- ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:28.40 aq:26.68 tex:477 mv:1324 misc:831 imb:2 pmb:161 smb:2477 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:28.40 aq:25.19 tex:690 mv:829 misc:705 imb:3 pmb:106 smb:2531 d:- ref:0 ;
in:130 out:127 type:P dur:2 cpbdur:2 q:28.40 aq:21.88 tex:30260 mv:10461 misc:2543 imb:123 pmb:1373 smb:1144 d:- ref:0 ;
in:128 out:128 type:B dur:2 cpbdur:2 q:28.40 aq:23.17 tex:4237 mv:3896 misc:1939 imb:7 pmb:539 smb:2094 d:- ref:0 ;
in:127 out:129 type:b dur:2 cpbdur:2 q:28.40 aq:24.68 tex:717 mv:1337 misc:874 imb:0 pmb:178 smb:2462 d:- ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:28.40 aq:24.01 tex:412 mv:941 misc:1007 imb:1 pmb:192 smb:2447 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:28.40 aq:22.25 tex:21911 mv:13336 misc:2425 imb:268 pmb:1357 smb:1015 d:- ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:28.40 aq:22.51 tex:5914 mv:6482 misc:2500 imb:21 pmb:908 smb:1711 d:- ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:28.40 aq:24.27 tex:1086 mv:2904 misc:1714 imb:9 pmb:423 smb:2208 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:28.40 aq:22.88 tex:540 mv:827 misc:745 imb:1 pmb:108 smb:2531 d:- ref:0 ;
in:137 out:135 type:P dur:2 cpbdur:2 q:28.40 aq:24.41 tex:8717 mv:5556 misc:2183 imb:83 pmb:627 smb:1930 d:- ref:0 ;
in:136 out:136 type:B dur:2 cpbdur:2 q:28.40 aq:23.89 tex:2718 mv:2670 misc:1428 imb:9 pmb:325 smb:2306 d:- ref:0 ;
in:135 out:137 type:b dur:2 cpbdur:2 q:28.40 aq:27.04 tex:1497 mv:2684 misc:1403 imb:3 pmb:339 smb:2298 d:- ref:0 ;
in:138 out:138 type:I dur:2 cpbdur:2 q:25.49 aq:18.86 tex:215208 mv:78819 misc:221 imb:2640 pmb:0 smb:0 d:- ref:;
in:141 out:139 type:P dur:2 cpbdur:2 q:28.40 aq:23.37 tex:51983 mv:14722 misc:2303 imb:152 pmb:1336 smb:1152 d:- ref:0 ;
in:140 out:140 type:B dur:2 cpbdur:2 q:28.40 aq:28.97 tex:3862 mv:6713 misc:1961 imb:7 pmb:664 smb:1969 d:- ref:0 ;
in:139 out:141 type:b dur:2 cpbdur:2 q:28.40 aq:29.37 tex:3995 mv:7243 misc:2010 imb:3 pmb:673 smb:1964 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:28.40 aq:22.85 tex:39813 mv:14316 misc:2247 imb:112 pmb:1475 smb:1053 d:- ref:0 ;
in:145 out:143 type:P dur:2 cpbdur:2 q:28.40 aq:22.73 tex:63137 mv:17620 misc:2067 imb:268 pmb:1494 smb:878 d:- ref:0 ;
in:144 out:144 type:B dur:2 cpbdur:2 q:28.40 aq:28.35 tex:5138 mv:7112 misc:1982 imb:13 pmb:646 smb:1981 d:- ref:0 ;
